
> @yellatech/engine@0.13.9 load-test
> tsx examples/load-test.ts realistic

Dashboard: http://127.0.0.1:3400

Yella Engine Load Test  [Realistic (API call simulation)]
════════════════════════════════════════════════════════════════════════════════
  Concurrency:   20
  Duration:      300s across 6 phases
  Seed events:   ~9,060 (each spawns 4-7 runs)
  Expected runs: ~45,300 (mixed shallow/deep)
  Handler time:  200-600ms (main), 20-80ms (validate)
  Failure rate:  3%  |  Slow outliers: 5% (2000-5000ms)
  Retry policy:  2 retries, exponential backoff (500ms, 1s, 2s)

  Phases:
    warm-up         2 events/s × 30s
    steady         10 events/s × 60s
    peak           30 events/s × 60s
    surge          60 events/s × 60s
    spike         100 events/s × 30s
    cool-down       0 events/s × 60s
════════════════════════════════════════════════════════════════════════════════

     ts │ phase        │ queue                │    completed │   throughput │         p95 │      rss │ sq
   290s │ cool-down    │ q:  7710 idle  20 run │ done:  12,811 │      53 run/s │ p95:  2500ms │ rss: 162MB │ sq: 0
   292s │ cool-down    │ q:  7714 idle  20 run │ done:  12,894 │    41.5 run/s │ p95:  2500ms │ rss: 162MB │ sq: 0
   294s │ cool-down    │ q:  7726 idle  20 run │ done:  12,976 │      41 run/s │ p95:  2500ms │ rss: 162MB │ sq: 0
   296s │ cool-down    │ q:  7730 idle  20 run │ done:  13,108 │      66 run/s │ p95:  2500ms │ rss: 162MB │ sq: 0
   298s │ cool-down    │ q:  7731 idle  20 run │ done:  13,215 │    53.5 run/s │ p95:  2500ms │ rss: 162MB │ sq: 0
   300s │ cool-down    │ q:  7735 idle  20 run │ done:  13,285 │      35 run/s │ p95:  2500ms │ rss: 162MB │ sq: 0
─────────────────────────────────────────────────────────────────────────────────────────────────────────
  Draining remaining queue...
   302s │ draining     │ q:  7735 idle  20 run │ done:  13,376 │    45.5 run/s │ p95:  2500ms │ rss: 162MB │ sq: 0
   304s │ draining     │ q:  7737 idle  20 run │ done:  13,458 │      41 run/s │ p95:  2500ms │ rss: 163MB │ sq: 0
   306s │ draining     │ q:  7742 idle  20 run │ done:  13,575 │    58.5 run/s │ p95:  2500ms │ rss: 163MB │ sq: 0
